pk_teuna_fikt,thum_geografi,sug_dereh,semel_yishuv,rehov1,rehov2,bayit,zomet_ironi,kvish1,kvish2,km,zomet_lo_ironi,yehida,shnat_teuna,hodesh_teuna,shaa,sug_yom,yom_layla,yom_bashavua,humrat_teuna,sug_teuna,had_maslul,rav_maslul,mehirut_muteret,tkinut,rohav,simun_timrur,teura,mezeg_avir,pne_kvish,sug_ezem,merhak_ezem,lo_haza,ofen_haziya,mekom_haziya,kivun_haziya,mahoz,nafa,ezor_tivi,maamad_minizipali,zurat_ishuv,status_igun,x,y,average_traffic_count
2014003216,1,3,0,,,,,75,6,392,1201,11,2014,1,35,4,1,3,2,3,9,0,5,0,0,5,1,1,1,9,9,9,0,0,9,3,11,311,99,99,1,209294,736795,999.429054054054
2014003460,1,4,0,,,,,258,0,190,,34,2014,2,35,4,1,7,2,19,3,0,4,1,2,4,1,1,1,9,9,9,0,0,9,6,23,623,99,99,1,222931,566624,29.7291666666667
2014003495,1,4,0,,,,,574,0,175,,11,2014,3,35,4,1,1,2,5,2,0,4,0,3,4,1,1,1,9,9,9,0,0,9,3,24,324,99,99,1,202049,707218,754.712121212121
2014003643,1,4,0,,,,,3866,0,30,,61,2014,3,36,4,1,4,2,5,2,0,4,1,3,3,1,1,1,9,9,9,0,0,9,1,11,111,99,99,1,201800,627807,302.458333333333
2014003951,1,3,0,,,,,2,5611,397,77,51,2014,3,37,4,1,7,2,3,0,3,1,1,2,3,1,1,1,9,9,9,0,0,9,4,41,411,99,99,1,186947,688184,1343.796875
2014004042,1,4,0,,,,,899,0,67,,12,2014,4,37,4,1,5,2,11,2,0,4,1,2,3,1,2,2,9,9,7,0,0,9,2,44,244,99,99,1,217579,775346,183.234848484848
2014004167,1,4,0,,,,,1,0,450,,61,2014,1,38,4,1,4,2,3,0,2,4,0,3,3,1,1,1,9,9,9,0,0,9,1,11,111,99,99,1,208000,634226,2333.80555555556
2014004231,2,4,0,,,,,505,0,705,,41,2014,3,38,4,1,7,2,19,2,0,4,1,2,3,1,1,1,9,9,9,0,0,9,7,77,77,99,99,1,240405,662777,266.486111111111
2014004375,1,4,0,,,,,41,0,30,,38,2014,3,39,4,1,2,2,3,9,0,0,0,0,5,11,9,9,9,9,9,0,0,9,6,61,613,99,99,1,170050,637451,1185.50757575758
2014004456,1,4,0,,,,,80,0,1810,,34,2014,2,39,4,1,2,2,3,3,0,4,1,3,3,1,1,1,9,9,9,0,0,9,6,62,623,99,99,1,202294,564065,129.6875
2014004745,1,4,0,,,,,854,0,25,,12,2014,3,40,4,1,7,2,2,2,0,4,1,4,3,1,1,1,9,9,9,0,0,9,2,24,242,99,99,1,229670,760544,165.510416666667
2014004908,1,4,0,,,,,77,0,456,,14,2014,3,41,4,1,3,2,3,0,2,6,1,3,3,1,1,1,9,9,9,0,0,9,2,37,237,99,99,1,219699,737243,896.894886363636
2014005397,1,4,0,,,,,44,,,,20,2014,4,43,3,1,4,2,4,1,0,1,1,5,3,1,1,1,9,9,9,0,0,9,4,32,432,99,99,3,189426,644794,812.407258064516
2014005502,1,4,0,,,,,4,0,1200,,20,2014,3,43,4,1,1,2,3,0,2,5,1,4,3,1,1,1,9,9,9,0,0,9,5,52,512,99,99,1,185829,667712,1158.40197368421
2014005538,1,4,0,,,,,411,0,130,,52,2014,1,44,4,1,5,2,2,0,3,1,0,3,4,1,1,1,9,9,9,0,0,9,4,44,441,99,99,1,184562,639505,704.903846153846
2014005712,2,3,0,,,,,458,505,394,7217,41,2014,2,45,4,1,4,2,2,2,0,4,1,0,3,1,1,1,9,9,9,0,0,9,7,77,77,99,99,1,233549,664435,47.1041666666667
2014005956,1,4,0,,,,,2,0,430,,51,2014,2,45,4,1,3,2,3,9,0,0,0,0,5,11,9,9,9,9,9,0,0,9,4,41,411,99,99,1,187603,691681,1849.62760416667
2014006080,1,4,0,,,,,70,0,742,,12,2014,1,46,4,1,1,2,5,9,0,4,0,3,3,1,1,1,9,9,9,0,0,9,2,45,245,99,99,1,214444,764807,977.527777777778
2014006109,1,4,0,,,,,6,0,1240,,52,2014,1,46,4,1,6,2,3,0,2,7,1,5,3,1,1,1,9,9,9,0,0,9,4,31,431,99,99,1,195630,652675,1164.29166666667
2014006110,1,4,0,,,,,42,0,950,,52,2014,1,46,4,1,1,2,5,3,0,2,1,4,4,1,1,1,9,9,9,0,0,9,4,42,442,99,99,1,177462,644830,1020.98541666667
2014006211,1,4,0,,,,,6,0,1220,,52,2014,2,47,4,1,1,2,3,1,0,6,1,4,3,1,1,1,9,9,9,0,0,9,4,31,431,99,99,1,194024,651527,1682.15079365079
2014006235,1,3,0,,,,,40,325,2058,681,34,2014,3,47,4,1,4,2,3,0,3,5,1,3,3,1,1,2,9,9,9,0,0,9,6,62,623,99,99,1,179587,592418,971.54380952381
2014006269,1,4,0,,,,,22,0,80,,11,2014,4,47,4,1,4,2,3,0,2,6,1,4,3,1,1,1,9,9,9,0,0,9,3,31,311,99,99,1,208308,746327,1819
2014006471,1,3,0,,,,,4,651,1645,369,11,2014,3,48,4,1,1,2,3,0,2,5,1,4,3,1,1,1,9,9,9,0,0,9,3,32,324,99,99,1,192720,709631,1158.40197368421
2014006531,1,3,0,,,,,42,4303,983,831,52,2014,3,48,4,1,1,2,3,0,2,5,1,3,3,1,1,1,9,9,9,0,0,9,4,44,442,99,99,1,178421,647608,1020.98541666667
2014006643,1,3,0,,,,,716,717,32,2273,14,2014,2,49,4,1,4,2,2,0,3,4,1,3,3,1,1,1,6,2,9,0,0,9,2,32,232,99,99,1,237667,720505,395.856060606061
2014006725,1,4,0,,,,,22,0,50,,11,2014,3,49,4,1,4,2,3,9,0,0,0,0,5,11,9,9,9,9,9,0,0,9,3,31,311,99,99,1,205458,745572,1819
2014006862,1,4,0,,,,,3415,0,3,,38,2014,1,49,4,1,7,2,5,2,0,2,1,0,3,1,1,1,9,9,9,0,0,9,6,12,612,99,99,1,184756,610034,73.8611111111111
2014007103,1,4,0,,,,,20,0,220,,20,2014,4,50,4,1,6,2,3,3,0,5,1,5,1,1,1,1,9,9,9,0,0,9,5,51,511,99,99,1,182265,669988,3926.00520833333
2014007341,1,4,0,,,,,20,0,190,,20,2014,2,51,4,1,4,2,3,0,3,5,1,0,3,1,1,1,9,9,9,0,0,9,5,51,511,99,99,1,181478,667195,3943.83680555556
2014007409,1,4,0,,,,,789,,18,,12,2014,4,51,4,1,7,2,11,2,0,2,1,2,3,1,1,1,9,9,9,0,0,9,2,94,294,99,99,1,262865,747751,26.2083333333333
2014007459,1,4,0,,,,,20,0,70,,20,2014,1,51,4,1,3,2,3,1,0,5,1,5,3,1,1,1,9,9,9,0,0,9,5,53,513,99,99,1,177641,657517,3942.046875
2014007526,1,3,0,,,,,40,3403,2242,689,38,2014,3,51,4,1,3,2,2,0,3,5,1,3,3,1,1,1,9,9,9,0,0,9,6,61,612,99,99,1,177162,609073,964.176428571429
2014007542,1,4,0,,,,,806,0,66,,14,2014,4,52,3,1,6,2,2,3,0,4,1,4,3,1,1,1,9,9,9,0,0,9,2,22,222,99,99,1,237852,753094,235.863095238095
2014007546,2,3,0,,,,,1,458,805,7002,43,2014,3,52,4,1,3,2,2,0,3,4,1,3,3,1,1,1,9,9,9,0,0,9,7,76,999,99,99,1,233695,635874,2325.74722222222
2014007623,1,4,0,,,,,672,0,130,,11,2014,3,52,4,1,4,2,2,3,0,1,1,3,3,1,1,1,9,9,9,0,0,9,2,36,236,99,99,1,207831,718560,518.815
2014007674,1,3,0,,,,,4,67,1774,381,11,2014,2,52,4,1,4,2,2,0,3,5,1,5,3,1,1,1,9,9,9,0,0,9,3,32,321,99,99,1,195290,722027,1159.22171052632
2014007678,1,4,0,,,,,1,0,300,,61,2014,3,52,4,1,6,2,3,0,2,6,1,2,4,1,1,1,9,9,9,0,0,9,4,31,431,99,99,1,197324,641629,1818.63055555556
