shana,kvish,keta,maslul,hodesh,taarich,yom,shaa,nefah,status
2015,1,10,1,6,20,7,18,2744
2015,1,10,1,6,20,7,19,2457
2015,1,10,1,6,20,7,20,3070
2015,1,10,1,6,20,7,21,3043
2015,1,10,1,6,20,7,22,2534
2015,1,10,1,6,20,7,23,2595
2015,1,10,1,6,21,1,0,1988
2015,1,10,1,6,21,1,1,1167
2015,1,10,1,6,21,1,2,821
2015,1,10,1,6,21,1,3,675
2015,1,10,1,6,21,1,4,705
2015,1,10,1,6,21,1,5,970
2015,1,10,1,6,21,1,6,2416
2015,1,10,1,6,21,1,7,3710
2015,1,10,1,6,21,1,8,3663
2015,1,10,1,6,21,1,9,2577
2015,1,10,1,6,21,1,10,2936
2015,1,10,1,6,21,1,11,3328
2015,1,10,1,6,21,1,12,3654
2015,1,10,1,6,21,1,13,4070
2015,1,10,1,6,21,1,14,4346
2015,1,10,1,6,21,1,15,4724
2015,1,10,1,6,21,1,16,4522
2015,1,10,1,6,21,1,17,4749
2015,1,10,1,6,21,1,18,3950
2015,1,10,1,6,21,1,19,4145
2015,1,10,1,6,21,1,20,3677
2015,1,10,1,6,21,1,21,2960
2015,1,10,1,6,21,1,22,2537
2015,1,10,1,6,21,1,23,2008
2015,1,10,2,6,15,2,0,834
2015,1,10,2,6,15,2,1,562
2015,1,10,2,6,15,2,2,366
2015,1,10,2,6,15,2,3,480
2015,1,10,2,6,15,2,4,543
2015,1,10,2,6,15,2,5,1076
2015,1,10,2,6,15,2,6,4197
2015,1,10,2,6,15,2,7,4507
2015,1,10,2,6,15,2,8,4066
2015,1,10,2,6,15,2,9,4259
2015,1,10,2,6,15,2,10,4323
2015,1,10,2,6,15,2,11,3922
2015,1,10,2,6,15,2,12,3820
2015,1,10,2,6,15,2,13,3687
2015,1,10,2,6,15,2,14,3289
2015,1,10,2,6,15,2,15,3091
2015,1,10,2,6,15,2,16,3483
2015,1,10,2,6,15,2,17,3753
2015,1,10,2,6,15,2,18,3602
2015,1,10,2,6,15,2,19,3221
2015,1,10,2,6,15,2,20,3079
2015,1,10,2,6,15,2,21,2357
2015,1,10,2,6,15,2,22,1666
2015,1,10,2,6,15,2,23,1308
2015,1,10,2,6,16,3,0,1007
2015,1,10,2,6,16,3,1,617
2015,1,10,2,6,16,3,2,362
2015,1,10,2,6,16,3,3,409
2015,1,10,2,6,16,3,4,448
