,,,,ספירות תנועה 2015 PUF,,,
,,,,מילון קטעי דרך לא-עירוניים,,,




kvish,keta,km_me,shem_km_me,ad_km,shem_km_ad,km_hazava,teur_hazava
25,20,142.4,צומת דימונה,175.1,צומת בית אשל,172.4,"2.64 ק""מ מצומת בית אשל"
25,30,184,צומת עולים,194,צומת הנשיא,193.8,כמאתיים מטר מצומת הנשיא
25,40,194,צומת הנשיא,198.7,צומת גילת,194.3,"0.27 ק""מ מצומת הנשיא"
25,50,198.7,צומת גילת,209,צומת הגדי,199,"0.34 ק""מ מצומת גילת"
25,58,209,צומת הגדי,210.7,צומת נתיבות,210,"1.02 ק""מ מצומת הגדי"
31,10,2.9,צומת להבים,17,צומת שוקת,3.3,"0.41 ק""מ מצומת להבים"
34,10,0,צומת נתיבות,9.1,צומת שער הנגב,8.6,"0.47 ק""מ מצומת שער הנגב"
34,20,9.1,צומת שער הנגב,18.8,צומת יד מרדכי,18.3,"0.46 ק""מ מצומת יד מרדכי"
35,10,0,צומת ברכיה,5.6,צומת גבעתי,0.2,כמאתיים מטר מצומת ברכיה
35,20,5.6,צומת גבעתי,15.9,צומת פלוגות,5.8,"0.23 ק""מ מצומת גבעתי"
35,30,15.9,צומת פלוגות,17.2,כניסה לקריית גת,17.1,
35,32,17.2,כניסה לקריית גת,18.5,צומת קריית גת (צפון),18.3,
35,40,18.5,צומת קריית גת (צפון),32.5,צומת נחושה,23.2,"4.69 ק""מ מצומת קריית גת (צפון)"
35,50,32.5,צומת נחושה,41.4,צומת,32.9,"0.38 ק""מ מצומת נחושה"
38,10,0,צומת נחושה,10,צומת האלה,9.4,"0.61 ק""מ מצומת האלה"
38,20,10,צומת האלה,15,כניסה לרמת בית שמש דר',10.3,"0.29 ק""מ מצומת האלה"
38,28,15,כניסה לרמת בית שמש דר',19.6,צומת צרעה,17.9,"2.88 ק""מ מכניסה לרמת בית שמש דר'"
38,30,19.6,צומת צרעה,22.9,צומת שמשון,22.3,"2.69 ק""מ מצומת צרעה"
