כביש,קטע,"ק""מ מ-",שם מ-,"ק""מ עד",שם עד,"ק""מ הצבה",הצבה,X של מקום ההצבה,Y של מקום ההצבה
9,10,22.0,צומת יער חדרה,55.0,מחלף חדרה דרום,230.0,ליד צומת יער חדרה,191352,701751
9,20,55.0,מחלף חדרה דרום,127.0,צומת חביבה,100.0,ליד צומת חביבה,199564,702107
12,10,0.0,יישוב אילת,115.0,כניסה לנטפים(מעבר גבול),13.0,"1.27 ק""מ מיישוב אילת",192571,385174
12,20,115.0,כניסה לנטפים (מעבר גבול),680.0,צומת שיזפון (עובדה),670.0,"0.27 ק""מ מצומת שיזפון",200861,439898
13,10,0.0,צומת ציחור,118.0,צומת מנוחה,4.0,"0.45 ק""מ מצומת ציחור",202207,465503
20,11,119.0,מחלף חולון,131.0,מחלף חיל השריון,120.0,נתונים מגלאי,,
20,12,132.0,מחלף קיבוץ גלויות,144.0,מחלף לה-גרדיה,135.0,נתונים מגלאי,,
20,13,144.0,מחלף לה-גרדיה,161.0,מחלף השלום,150.0,נתונים מגלאי,,
20,14,161.0,מחלף השלום,170.0,מחלף הרכבת,170.0,נתונים מגלאי,,
20,16,182.0,מחלף ההלכה,195.0,מחלף רוקח,195.0,נתונים מגלאי,,
20,17,195.0,מחלף רוקח,216.0,"מחלף קק""ל",210.0,נתונים מגלאי,,
20,18,216.0,"מחלף קק""ל",240.0,מחלף גלילות,230.0,נתונים מגלאי,,
20,19,240.0,מחלף גלילות,265.0,מחלף שבעת הכוכבים,260.0,נתונים מגלאי,,
25,10,1065.0,צומת הערבה,1424.0,צומת דימונה,1403.0,"2.1 ק""מ מצומת דימונה",202423,551901
25,20,1424.0,צומת דימונה,1751.0,צומת בית אשל,1724.0,"2.64 ק""מ מצומת בית אשל",183862,570417
25,30,1840.0,צומת עולים,1940.0,צומת הנשיא,1938.0,כמאתיים מטר מצומת הנשיא,171549,581926
25,60,2107.0,צומת נתיבות,2189.0,צומת סעד,2142.0,"3.53 ק""מ מצומת נתיבות",159225,595055
25,70,2189.0,צומת סעד,2230.0,מחסום נחל עוז,2191.0,"0.16 ק""מ מצומת סעד",155003,597889
31,10,29.0,צומת להבים,170.0,צומת שוקת,33.1,"0.41 ק""מ מצומת להבים",180758,586829
34,10,0.0,צומת נתיבות,91.0,צומת שער הנגב,86.0,"0.47 ק""מ מצומת שער הנגב",160979,601547
34,20,91.0,צומת שער הנגב,188.0,צומת יד מרדכי,183.0,"0.46 ק""מ מצומת יד מרדכי",158986,610568
35,10,0.0,צומת ברכיה,56.0,צומת גבעתי,2.0,כמאתיים מטר מצומת ברכיה,164616,619204
