pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2014000058,1,1,3,0,,,,,65,0,279,1111,11,2014,2,1,4,5,6,3,2,0,3,5,1,3,3,6,1,1,9,9,9,0,0,9,3,32,323,99,99,1,214125,715443
2014000059,1,1,1,70,206,165,,9380123,,,,,38,2014,2,1,4,5,1,3,2,0,3,1,1,3,3,6,2,2,9,9,9,0,0,9,6,61,613,0,13,1,168201,635083
2014000060,1,1,3,0,,,,,77,79,498,1355,14,2014,2,1,4,5,7,3,2,0,3,4,1,3,3,3,1,1,2,2,9,0,0,9,2,37,237,99,99,1,222133,740398
2014000061,1,1,2,31,109,,9999,,,,,,34,2014,2,1,4,5,1,3,2,3,0,1,1,2,3,6,1,1,9,9,9,0,0,9,6,62,622,0,16,3,163212,579831
2014000063,1,1,1,2640,554,561,,8490002,,,,,51,2014,1,1,4,5,1,3,2,0,3,1,1,2,3,6,1,1,3,4,9,0,0,9,4,42,422,0,15,1,197554,666847
2014000065,1,1,4,0,,,,,75,0,302,,14,2014,1,1,4,5,5,3,2,9,0,4,0,3,3,3,1,1,9,9,9,0,0,9,2,23,235,99,99,1,217211,734426
2014000066,1,1,1,6700,309,251,,8600165,,,,,14,2014,1,1,4,5,1,3,2,3,0,1,1,3,3,6,1,1,9,9,9,0,0,9,2,22,221,0,16,1,249936,743933
2014000067,1,1,4,0,,,,,652,0,50,,11,2014,1,1,4,5,6,3,2,2,0,4,1,4,3,6,1,1,9,9,9,0,0,9,3,32,324,99,99,1,196232,717055
2014000070,1,1,3,0,,,,,65,785,746,1149,14,2014,1,1,4,5,4,3,2,2,0,5,1,0,2,3,1,1,9,9,9,0,0,9,2,22,222,99,99,1,237704,746016
2014000071,1,1,4,0,,,,,6,0,1740,,11,2014,1,1,4,5,6,3,3,0,2,6,1,3,3,6,1,1,9,9,9,0,0,9,3,24,324,99,99,1,202056,699146
2014000074,1,1,2,2600,332,,9999,,,,,,33,2014,1,1,4,5,3,3,3,9,0,1,0,4,3,3,1,1,9,9,9,0,0,9,6,62,625,0,15,3,195558,386231
2014000090,1,1,2,9000,102,,9999,,,,,,34,2014,2,1,4,5,6,3,3,0,3,3,1,4,3,6,1,1,9,9,9,0,0,9,6,62,623,0,13,3,181952,572608
2014000091,1,1,4,0,,,,,4,0,1435,,51,2014,2,1,4,5,1,3,3,0,3,5,1,3,3,6,1,1,9,9,9,0,0,9,4,41,411,99,99,1,190694,689192
2014000100,1,1,4,0,,,,,6,0,1780,,11,2014,2,1,4,5,5,3,3,0,2,7,1,3,3,10,1,1,6,9,9,0,0,9,3,32,324,99,99,1,202189,703125
2014000114,1,1,2,6400,652,,1,,,,,,20,2014,3,1,4,5,2,3,3,3,0,1,1,3,3,6,1,1,9,9,9,0,0,9,5,51,511,0,15,1,181868,676749
2014000118,1,1,1,9000,281,811,,11070312,,,,,34,2014,3,1,4,5,2,3,3,3,0,2,1,3,3,6,1,1,9,9,9,0,0,9,6,62,623,0,13,1,180604,576005
2014000124,1,1,4,0,,,,,65,0,185,,11,2014,4,1,3,5,6,3,3,0,3,5,0,3,3,6,1,1,9,9,9,0,0,9,3,32,323,99,99,1,206263,711520
2014000129,1,1,4,0,,,,,67,0,133,,11,2014,4,1,4,5,1,3,3,0,2,5,1,4,3,10,1,1,9,9,9,0,0,9,3,22,322,99,99,1,204963,724393
2014000131,1,1,2,6600,875,,9999,,,,,,20,2014,4,1,4,5,6,3,3,0,3,1,1,0,3,6,1,1,9,9,9,0,0,9,5,51,513,0,14,3,179178,657464
2014000133,1,1,1,6200,612,626,,9020522,,,,,20,2014,4,1,1,5,2,3,3,0,3,1,1,0,3,6,1,1,9,9,9,0,0,9,5,51,513,0,14,1,176863,656884
2014000144,1,1,2,6600,401,,9999,,,,,,20,2014,3,1,4,5,5,3,4,0,3,1,1,2,3,6,1,1,9,9,9,0,0,9,5,51,513,0,14,3,179171,658904
