כביש,קטע,"ק""מ מ-",שם מ-,"ק""מ עד",שם עד,"ק""מ הצבה",הצבה,X של מקום ההצבה,Y של מקום ההצבה
31,10,2.9,צומת להבים,6.1,מחלף להבים,3.3,"0.41 ק""מ מצומת להבים",180746,586823
34,20,9.1,צומת שער הנגב,18.8,צומת יד מרדכי,18.7,כמאתיים מטר מצומת מרדכי,158999,610548
35,10,0,צומת ברכיה,5.6,צומת גבעתי,0.2,כמאתיים מטר מצומת ברכיה,164624,619211
35,20,5.6,צומת גבעתי,15.9,צומת פלוגות,5.7,כמאה מטר מצומת גבעתי,168303,617949
35,30,15.9,צומת פלוגות,17.2,כניסה לקריית גת,17.1,קרוב לכניסה לקרית גת,177812,614481
35,32,17.2,כניסה לקריית גת,18.5,צומת קריית גת (צפון),18.3,בין שדרות לכיש קרית גת ומסילת הברזל קרית גת,178261,614253
35,40,18.5,צומת קריית גת (צפון),32.5,צומת נחושה,23.2,"4.69 ק""מ מצומת קריית גת (צפון)",183163,611336
38,10,0,צומת נחושה,10,צומת האלה,9.3,"0.61 ק""מ מצומת האלה",195016,621101
38,20,10,צומת האלה,15,כניסה לרמת בית שמש (דרום),10.3,"0.29 ק""מ מצומת האלה",194844,621968
38,30,19.6,צומת צרעה,22.9,צומת שמשון,22.3,"2.69 ק""מ מצומת צרעה",200217,631003
38,40,22.9,צומת שמשון,28.1,מחלף שער הגיא,23.9,"0.97 ק""מ מצומת שמשון",201431,632189
40,37,181.8,צומת תל שבע,193.3,צומת גורל,190,200 מטר מצומת גורל,180306,579927
40,39,193.3,צומת גורל,200.1,צומת להבים,194.5,"1.48 ק""מ מצומת גורל",179782,580458
40,50,208.6,מחלף קמה,230.7,צומת פלוגות,230.3,"0.15 ק""מ מצומת פלוגות",176926,614844
40,60,230.7,צומת פלוגות,243.8,צומת מלאכי (קסטינה),242,"1.57 ק""מ מצומת קסטינה",176786,625447
40,70,248,צומת ראם (מסמייה),253.5,מחלף גדרה,252.7,"0.74 ק""מ מצומת גדרה",177826,633990
40,72,253.5,מחלף גדרה,255.2,כניסה לגדרה,254.4,"0.97 ק""מ מצומת גדרה",178159,635578
40,80,255.2,כניסה לגדרה,257.6,צומת תל נוף,257.3,"2.16 ק""מ מכניסה לגדרה",179514,637967
40,90,257.6,צומת תל נוף,262.8,"צומת ביל""ו",260.5,"2.92 ק""מ מצומת תל נוף",181529,640434
40,100,262.8,"צומת ביל""ו",270,מחלף רמלה דרום,265.2,"2.44 ק""מ מצומת ביל""ו",184463,643888
40,102,270,מחלף רמלה דרום,275.3,צומת גינתון,275,כמאה מטר מצומת גינתון לכיוון רמלה,191415,651172
40,110,275.3,צומת גינתון,277.9,מחלף לוד,275.4,כמאה מטר ממחלף לוד לכיוון רמלה,191069,652330
40,120,277.9,מחלף לוד,279.5,"כניסה לנתב""ג",279.4,"0.53 ק""מ ממחלף לוד",191159,654372
40,130,279.5,"כניסה לנתב""ג",282.1,צומת תעשייה אווירית,281,"1.00 ק""מ מכניסה לנתב""ג",191263,656305
40,140,282.1,צומת תעשייה אווירית,283.4,צומת הטייסים,281.3,כמאתיים מטר מצומת בדקש לכיוון פתח תקוה,191359,657592
40,150,283.4,צומת הטייסים,289.8,צומת סירקין,284.6,"0.22 ק""מ מצומת הטייסים",191449,659286
40,152,289.8,צומת סירקין,291.4,צומת גנים,291.3,"0.27 ק""מ מצומת סירקין",190889,665803
40,170,292.1,צומת סגולה,294,מחלף ירקון,293.6,"0.29 ק""מ מצומת סגולה",190670,667974
40,182,294,מחלף ירקון,296.4,צומת עדנים,294.5,"0.51 ק""מ ממחלף ירקון",191129,670327
40,192,296.4,צומת עדנים,301.5,צומת כפר סבא רח' וייצמן,296.5,"0.20 ק""מ מצומת עדנים",191129,670780
41,10,1.9,צומת נמל אשדוד,5,מחלף אשדוד,3.4,"1.53 ק""מ מצומת נמל אשדוד",170461,637588
42,6,84.3,צומת בני דרום דרומי,85.5,מחלף בני דרום,84.7,"0.43 ק""מ מצומת גן דרום",172157,636560
42,10,85.5,מחלף בני דרום,88.8,צומת בן זכאי,86.9,"1.4 ק""מ מצומת בני דרום",173412,638468
42,20,88.8,צומת בן זכאי,92.8,צומת יבנה (צפון),88.7,"0.25 ק""מ מצומת בן זכאי",174341,639705
42,22,92.8,צומת יבנה (צפון),98.3,צומת בית עובד,93.5,"0.5 ק""מ מצומת יבנה (צפון)",176694,643373
42,26,98.3,צומת בית עובד,102.4,מחלף עין הקורא,101,2.74 מצומת בית עובד,179411,650172
42,30,102.4,מחלף עין הקורא,103.5,מחלף גן רווה,103.3,כמאה מטר ממחלף גן רווה,,
44,10,0,צומת שמשון,10.3,צומת נחשון (הגבורה),7.8,2.44 מצומת נחשון,194542,635270
44,20,10.3,צומת נחשון (הגבורה),22.5,צומת גזר,19.6,"2.86 ק""מ מצומת גזר",189523,644507
44,30,22.5,צומת גזר,23.5,מחלף רמלוד,22.6,כמאה מטר מצומת איילון,189296,647409
44,32,23.5,מחלף רמלוד,24.5,צומת מעשייהו (תעבורה),23.8,"0.27 ק""מ ממחלף רמלוד",188866,648277
44,40,24.5,צומת מעשייהו (תעבורה),26.1,צומת רמלה - צפון,25.2,"0.65 ק""מ מצומת מעשייהו",188038,649346
44,50,26.1,צומת רמלה - צפון,30,צומת צריפין,26.5,"0.42 ק""מ מצומת רמלה - צפון",187120,650113
44,60,30,צומת צריפין,34.1,צומת בית דגן,31,"1.01 ק""מ מצומת צריפין",184750,653951
45,810,24.1,צומת מחנה עופר,27.5,צומת עטרות,25.1,"1 ק""מ מצומת גבעת זאב",217895,641596
46,10,0,צומת אל על,3.4,צומת ברקת,2.5,בין  צומת ברקת וצומת אל על,192212,657296
55,10,4.9,צומת כפר סבא רח' וייצמן,6,צומת נווה ימין (מערב),5.4,"0.52 ק""מ מצומת כפר סבא רח' וייצמן",193919,675650
55,20,6,צומת נווה ימין (מערב),7,צומת כפר סבא (מזרח),6.2,"0.17 ק""מ מצומת נווה ימין (מערב)",194832,676139
55,30,7,צומת כפר סבא (מזרח),7.8,צומת לאלפי מנשה,6.5,"0.09 ק""מ מצומת כפר סבא (מזרח)",195221,676073
55,810,7.8,צומת לאלפי מנשה,39.6,יישוב שכם,12,במחסום,199889,676700
57,10,0,מחלף נתניה,0.7,כניסה לא' תעשייה נתניה,0.3,"0.25 ק""מ ממחלף נתניה",187968,692366
57,20,0.7,כניסה לא' תעשייה נתניה,3.5,צומת השרון,1,"0.17 ק""מ מצומת השרון",190908,692241
57,30,3.5,צומת השרון,8.6,צומת ינוב,3.7,כמאתיים מטר מצומת השרון,191886,692120
57,38,8.6,צומת ינוב,12.6,צומת ניצני עוז,12.5,כמאה מטר מצומת נצנה עוז,196767,691161
57,40,12.6,צומת ניצני עוז,14.2,מחלף ניצני עוז,12.7,כמאה מטר מצומת ניצני עז,200318,690907
60,10,3.8,צומת חטיבת הנגב,5.6,כניסה לעומר,3.8,"0.88 ק""מ מכניסה לעומר",183428,574028
